Zone#,StopSeq,Period,SignRt,Part,Express or Local,Inbound or Outbound,OnStreet,CrossStreet,Intersection,Direction,,,,,,
62079,1,AAM,168,,L,I,SE 264TH ST,242ND AVE SE,NS,E,,,,57th Ave S,Renton Ave S,Rainier Beach
60161,1,AAM,148,,L,I,SE 177TH ST,140TH AVE SE,NM,W,,,,S Gazelle St,51st Ave S,Rainier Beach
59310,1,AAM,156,,L,O,ANDOVER PARK W,BAKER BLVD,FS,S,,,,Marine View Dr SW,44th Ave SW,Arbor Heights
59282,1,AAM,164,,L,I,SE 320TH ST,122ND AVE SE,FS,E,,,,S Gazelle St,51st Ave S,Rainier Beach
59282,1,AAM,181,,L,I,SE 320TH ST,122ND AVE SE,FS,E,,,,S Norfolk St,Renton Ave S,Rainier Beach
3890,1,AAM,4,N,L,I,W RAYE ST,1ST AVE W,FS,W,,,,55th Ave S,Renton Ave S,Rainier Beach
2850,1,AAM,2,S,L,I,MADRONA PARK,LK WASHINGTON BLVD,FS,E,,,,S Norfolk St,Waters Ave S,Rainier Beach
3600,1,AAM,1,,L,O,S JACKSON ST,12TH AVE S,FS,W,,,,SW 102nd St,35th Ave SW,Arbor Heights
12220,1,AAM,11,,L,I,42ND AVE E,E LYNN ST,FS,S,,,,54th Ave S,Renton Ave S,Rainier Beach
14960,1,AAM,50,,L,O,ALKI AVE SW,61ST AVE SW,NS,N,,,,S Bond St,51st Ave S,Rainier Beach
14960,1,AAM,56,,E,I,ALKI AVE SW,61ST AVE SW,NS,N,,,,S Bond St,51st Ave S,Rainier Beach
62295,1,AAM,159,,L,I,164TH AVE SE,SE 272ND ST,FS,N,,,,54th Ave S,Renton Ave S,Rainier Beach
61368,1,AAM,178,,L,I,S Federal Way P&R Ac,9th Ave S,NS,W,,,,62nd Ave S,Waters Ave S,Rainier Beach
60921,1,AAM,671,,L,O,Tukwila LLR AcRd,Tukwila LLR AcRd,NS,W,,,,SW 100th St,44th Ave SW,Arbor Heights
60923,1,AAM,124,,L,I,Tukwila LLR AcRd,Tukwila LLR AcRd,NS,W,,,,35th Ave SW,SW 100th St,Arbor Heights
61870,1,AAM,187,,L,I,SW 320TH ST,21ST AVE SW,FS,W,,,,37th Ave SW,SW 100th St,Arbor Heights
60453,1,AAM,157,,L,I,Lake Meridian P&R Ac,132nd Ave SE,OP,N,,,,39th Ave SW,SW 100th St,Arbor Heights
60453,1,AAM,161,,L,I,Lake Meridian P&R Ac,132nd Ave SE,OP,N,,,,41st Ave SW,SW 100th St,Arbor Heights
57891,1,AAM,952,,E,I,15TH ST NE,A ST NE,NS,W,,,,52nd Ave S,Renton Ave S,Rainier Beach
62329,1,AAM,554,,E,I,NE REDMOND WAY,185TH AVE NE,NS,S,,,,42nd Ave SW,SW 100th St,Arbor Heights
62329,1,AAM,268,,L,I,NE REDMOND WAY,185TH AVE NE,NS,S,,,,SW 100th St,35th Ave SW,Arbor Heights
58033,1,AAM,110,,L,I,Tukwila Station AcRd,S Longacres Way,FS,S,,,,S Pilgrim St,Waters Ave S,Rainier Beach
58033,1,AAM,154,,L,I,Tukwila Station AcRd,S Longacres Way,FS,S,,,,52nd Ave S,Renton Ave S,Rainier Beach
57774,1,AAM,186,,L,O,Auburn Sounder Stati,2nd St SW,NS,S,,,,61st Ave S,Waters Ave S,Rainier Beach
57773,1,AAM,152,,L,I,Auburn Sounder Stati,1st St SW,FS,S,,,,S Roxbury St,Renton Ave S,Rainier Beach
57600,1,AAM,180,,L,I,41ST ST SE,A ST SE,NM,W,,,,S Roxbury St,Waters Ave S,Rainier Beach
68006,1,AAM,560,,E,O,Bellevue TC AcRd,110th Ave NE,NS,E,,,,S Roxbury St,51st Ave S,Rainier Beach
68003,1,AAM,672,,L,O,Bellevue TC AcRd,108th Ave NE,FS,E,,,,S Roxbury St,Waters Ave S,Rainier Beach
68001,1,AAM,226,,L,I,NE 6th St,108th Ave NE,FS,E,,,,SW 98th St,35th Ave SW,Arbor Heights
64802,1,AAM,245,,L,O,124TH AVE SE,SE 44TH ST,FS,N,,,,51st Ave S,Renton Ave S,Rainier Beach
70165,1,AAM,306,,E,I,67TH AVE NE,NE 181ST ST,NS,N,,,,40th Ave S,Carkeek Dr S,South Beacon Hill
64561,1,AAM,211,,E,I,Issaquah Highlands P,9th Ave NE,OP,E,,,,51st Ave S,Renton Ave S,Rainier Beach
64561,1,AAM,556,,E,O,Issaquah Highlands P,9th Ave NE,OP,E,,,,40th Ave S,Carkeek Dr S,South Beacon Hill
69021,1,AAM,234,,L,O,Bellevue TC AcRd,108th Ave NE,NS,W,,,,Renton Ave S,51st Ave S,Rainier Beach
69021,1,AAM,235,,L,O,Bellevue TC AcRd,108th Ave NE,NS,W,,,,S Carver St,Waters Ave S,Rainier Beach
67014,1,AAM,226,,L,O,Eastgate P&R AcRd,140th Ave SE,NS,W,,,,S Carver St,Waters Ave S,Rainier Beach
67014,1,AAM,241,,L,O,Eastgate P&R AcRd,140th Ave SE,NS,W,,,,5th Pl SW,SW Roxbury St,Highland Park
67015,1,AAM,221,,L,I,Eastgate P&R AcRd,140th Ave SE,NM,W,,,,SW Roxbury St,35th Ave SW,Arbor Heights
67014,1,AAM,246,,L,O,Eastgate P&R AcRd,140th Ave SE,NS,W,,,,8th Ave SW,SW Roxbury St,Highland Park
67636,1,AAM,550,,E,I,110TH AVE NE,NE 10TH ST,NS,S,,,,12th Ave SW,SW Roxbury St,Highland Park
70310,1,AAM,255,,L,I,JUANITA WOODINVIL WA,115TH AVE NE,NS,N,,,,20th Ave SW,SW Roxbury St,South Delridge
70310,1,AAM,257,,L,I,JUANITA WOODINVIL WA,115TH AVE NE,NS,N,,,,15th Ave SW,SW Roxbury St,Highland Park
64370,1,AAM,224,,L,I,SE 42ND PL,334TH PL SE,FS,E,,,,16th Ave SW,SW Roxbury St,South Delridge
64305,1,AAM,209,,L,I,FACTORY OUTLET,MOUNT SI BLVD,FS,N,,,,20th Ave SW,SW Roxbury St,South Delridge
64540,1,AAM,214,,L,I,FRONT ST N,NE ALDER ST,AT,N,,,,S Cambridge St,39th Ave S,South Beacon Hill
64555,1,AAM,210,,L,I,Issaquah TC AcRd,NW Maple St,NS,N,,,,S Cambridge St,39th Ave S,South Beacon Hill
12485,1,AAM,4,S,L,I,S WALKER ST,25TH AVE S,NS,W,,,,26th Ave SW,SW Roxbury St,South Delridge
12690,1,AAM,3,S,L,I,34TH AVE,E UNION ST,FS,S,,,,30th Ave SW,SW Roxbury St,Arbor Heights
13390,1,AAM,47,,L,I,BELLEVUE AVE E,BELLEVUE PL E,FS,S,,,,28th Ave SW,SW Roxbury St,Roxhill
22850,1,AAM,37,,E,I,SW ALASKA ST,35TH AVE SW,FS,W,,,,S Fletcher St,51st Ave S,Rainier Beach
20041,1,AAM,560,,E,I,SW ALASKA ST,CALIFORNIA AVE SW,FS,W,,,,35th Ave SW,SW Roxbury St,Arbor Heights
27175,1,AAM,27,,L,I,36TH AVE S,S DAY ST,AT,N,,,,S Fletcher St,Renton Ave S,Rainier Beach
20530,1,AAM,24,,L,I,W EMERSON ST,MAGNOLIA BLVD W,NS,W,,,,30th Ave SW,SW Roxbury St,Roxhill
71334,1,AAM,265,,L,I,Overlake TC AcRd,156th Ave NE,FS,S,,,,S Fletcher St,Waters Ave S,Rainier Beach
71334,1,AAM,250,,L,I,Overlake TC AcRd,156th Ave NE,FS,S,,,,35th Ave SW,SW Roxbury St,Roxhill
74721,1,AAM,235,,L,I,Kingsgate P&R AcRd,116th Way NE,OP,S,,,,S Fletcher St,51st Ave S,Rainier Beach
74310,1,AAM,277,,L,I,NE 116TH ST,101ST PL NE,AT,W,,,,SW Roxbury St,16th Ave SW,South Delridge
71960,1,AAM,542,,E,I,Redmond Transit Cent,NE 83rd St,NS,S,,,,SW Roxbury St,35th Ave SW,Roxhill
71960,1,AAM,221,,L,O,Redmond Transit Cent,NE 83rd St,NS,S,,,,SW Roxbury St,35th Ave SW,Fauntleroy
