RAINIER AVE S & SEWARD PK AVE S
124TH AVE SE & SE 44TH ST
NE 85TH ST & 161ST AVE NE
FORBES CREEK DR & 115TH CT NE
15TH AVE & E OLIVE ST
E OLIVE WAY & E HOWELL ST
5TH AVE NE & NE 180TH ST
W GALER ST & 2ND AVE W
BEACON AVE S & S AUGUSTA ST
NORTHUP WAY & 120TH AVE NE
68TH AVE NE & NE 190TH ST
116TH AVE SE & SE 20TH PL
228TH AVE SE & E MAIN ST
CENTRAL AVE S & S 259TH ST
35TH AVE NE & NE 89TH ST
8TH AVE NW & NW 90TH ST
KENT DES MOINES RD & 24TH AVE S
I-405 & SE 8TH ST
28TH AVE NW & NW 93RD ST
AMBAUM BLVD SW & SW 139TH ST
15TH AVE S & S PEARL ST
SE 277TH PL & 124TH AVE SE
N 35TH ST & WOODLAWN AVE N
S 156TH ST & 2ND AVE S
DAYTON AVE N & N 172ND ST
D ST NE & 15TH ST NE
BEACH DR SW & BEACH DR SW
Issaquah TC AcRd & NW Maple St
Tukwila Station AcRd & S Longacres Way
VASHON HWY SW & SW 188TH ST
INTERNATIONAL BLVD & S 180TH ST
28TH AVE W & W BLAINE ST
EASTLAKE AVE E & STEWART ST
21ST AVE SW & SW 330TH ST
FRED MEYER & SE 62ND ST
SEWARD PK AVE S & S BRIGHTON ST
15TH AVE S & S OREGON ST
NE 150TH ST & 25TH AVE NE
BEACON AVE S & VA HOSPITAL
BALLINGER WAY NE & 37TH AVE NE
15TH AVE NE & NE 82ND ST
15TH AVE NW & NW 85TH ST
INTERNATIONAL BLVD & S 200TH ST
CALIFORNIA AVE SW & SW BARTON ST
AVONDALE RD NE & NE 85TH PL
23RD AVE S & S MASSACHUSETTS ST
FAUNTLEROY WAY SW & SW ALASKA ST
155TH AVE SE & SE 175TH CT
RAILROAD AVE SE AVE  & MEADOWBROOK WAY SE
KENT KANGLEY RD & 111TH AVE SE
SE 142ND ST & 148TH PL SE
PACIFIC HWY S & S DASH PT RD
CENTRAL AVE S & S 266TH ST
228TH AVE SE & SE 8TH ST
NE BELLEVUE REDMOND  & 132ND AVE NE
PACIFIC HWY S & KENT DES MOINES RD
145TH PL SE & LK HILLS BLVD
AIRPT WAY S & S LUCILE ST
4TH AVE S & S HORTON ST
WATERS AVE S & S NORFOLK ST
NW MARKET ST & 8TH AVE NW
SE BLK NUGGET RD & SE ISSAQUAH-FALL CIT
24TH AVE S & S 223RD ST
160TH AVE NE & NE 106TH ST
NE 65TH ST & 52ND AVE NE
SOUTHCENTER PKWY & 17500 BLOCK
NE 85TH ST & 160TH AVE NE
15TH AVE NE & NE PERKINS WAY
SAND PT WAY NE & NE 55TH ST
NE 55TH ST & 43RD AVE NE
LKSIDE AVE S & S DAY ST
HARBOR AVE SW & CALIFORNIA WAY SW
50TH AVE S & S HUDSON ST
SOUTHCENTER BLVD & 65TH AVE S
VASHON HWY SW & SW 158TH ST
NE 8TH ST & 156TH AVE NE
LAKE HILLS CONNEC & 140TH AVE SE
NE NORTHGATE WAY & 19TH AVE NE
REDMOND RDG DR NE & NE MARKETPLACE DR
AUBURN-ENUMCLAW RD & SE 388TH ST
128TH AVE SE & SE 172ND ST
Tukwila LLR AcRd & Tukwila LLR AcRd
SE 24TH ST & 161ST AVE SE
108TH AVE SE & SE 14TH ST
SE 223RD DR & 124TH AVE SE
COLLEGE WAY N & N 97TH ST
NE 132ND ST & 114TH PL NE
S 320TH ST & 23RD AVE S
35TH AVE NE & NE 55TH ST
DELRIDGE WAY SW & SW THISTLE ST
32ND AVE NW & NW 64TH ST
21ST AVE SW & 22ND AVE SW
W GOVERNMENT WAY & 32ND AVE W
10TH AVE W & W HOWE ST
SW AVALON WAY & SW CHARLESTOWN ST
21ST AVE SW & SW 344TH ST
RENTON AVE S & VICTOR ST
EASTLAKE AVE E & MERCER ST
156TH AVE NE & NE 51ST ST
5TH AVE N & BROAD ST
112TH AVE SE & SE 8TH ST
164TH WAY SE & SE 43RD ST
NE 205TH ST & 58TH PL W
E UNION ST & 27TH AVE
BOYER AVE E & E SHELBY ST
LIND AVE SW & SW 27TH ST
124TH AVE SE & SE 217TH PL
NE 65TH ST & 42ND AVE NE
NW 100TH PL & NW 100TH ST
1ST AVE S & SW 192ND ST
NW 85TH ST & 15TH AVE NW
SW AVALON WAY & SW BRADFORD ST
SW 264TH ST & 99TH AVE SW
NE WOODINVILLE DUVAL & 176TH AVE NE
HOYT RD SW & SW 329TH WAY
148TH AVE NE & NE 61ST ST
NORPOINT WAY NE & 29TH ST NE
5TH AVE NE & NE 120TH ST
YESLER WAY & 1ST AVE S
84TH AVE S & S 216TH ST
PIKE ST & CONVENTION PL
WEST VIEWMONT WAY W & W BERTONA ST
AUBURN AVE & 5TH ST NE
E MADISON ST & BROADWAY
MARTIN L KING JR WAY & S HENDERSON ST
EASTLAKE AVE E & E ALLISON ST
JUANITA DR NE & NE 160TH ST
43RD AVE E & E BLAINE ST
NE 75TH ST & 24TH AVE NE
JUANITA WOODINVIL WA & NE 143RD PL
NE 171ST ST & 140TH AVE NE
EAST MARGINAL WAY S & S 124TH ST
SE 240TH ST & 132ND AVE SE
SE 267TH ST & 170TH AVE SE
NE 175TH ST & 135TH AVE NE
NE 12TH ST & OLYMPIA AVE NE
EAST MARGINAL WAY S & S NORFOLK ST
SW 152ND ST & 16TH AVE SW
15TH AVE NW & NW MARKET ST
NW GILMAN BLVD & NW JUNIPER ST
N 205TH ST & 1ST AVE NE
Highline CC AcRd & S 240th St
236TH ST SW & 58TH AVE W
ALKI AVE SW & 1400 BLOCK
16TH AVE SW & SW ELMGROVE ST
SYLVAN WAY SW & DELRIDGE WAY SW
SEWARD PK AVE S & S FISHER PL
WEST LK SAMMAMISH PK & NE 27TH ST
SW ROXBURY ST & 5TH PL SW
121ST AVE SE & SE 10TH ST
NW RICHMOND BEACH RD & 3RD AVE NW
NE 205TH ST & 30TH AVE NE
S PUGET DR & ROLLING HILLS AVE SE
E DENNY WAY & E OLIVE WAY
Burnett Ave S & S 2nd St
32ND AVE NW & NW 66TH ST
119TH AVE NE & NE 150TH PL
N 45TH ST & CORLISS AVE N
SE 256TH ST & 118TH PL SE
KENT KANGLEY RD & 127TH AVE SE
49TH AVE NE & 35TH ST NE
12TH AVE NE & NE 65TH ST
MERIDIAN AVE N & N 63RD ST
5TH AVE NE & NE 112TH ST
S DEARBORN ST & 26TH AVE S
SE 144TH ST & 156TH AVE SE
ISLAND CREST WAY & 82ND AVE SE
128TH AVE SE & SE 26TH PL
WALLINGFORD AVE N & N 90TH ST
SENECA ST & 4TH AVE
SR 520 RAMP & NE 40TH ST
SW 148TH ST & AMBAUM BLVD SW
SW 320TH ST & 6TH AVE SW
RAINIER AVE S & S CHARLES ST
COAL CREEK PKWY SE & SE 79TH PL
BOYER AVE E & E HAMLIN ST
SENECA ST & HARVARD AVE
SW GENESEE ST & 55TH AVE SW
AURORA AVE N & MERCER ST
LK KATHLEEN RD SE & SE 133RD PL
1ST AVE NE & NE 95TH ST
NE 155TH ST & 8TH AVE NE
NE 122ND PL & JUANITA DR NE
RENTON AVE S & 74TH AVE S
AVONDALE RD NE & NE 128TH WAY
5TH AVE NE & NE 148TH ST
NE 39TH ST & 47TH AVE NE
SW BARTON PL & 22ND AVE SW
ALKI AVE SW & 53RD AVE SW
NE 185TH ST & BEARDSLEE BLVD
NE 24TH ST & 162ND AVE NE
NE 150TH ST & 15TH AVE NE
NE 65TH ST & 185TH AVE NE
E CHERRY ST & 31ST AVE
169TH AVE SE & SE 136TH ST
TOTEM LK BLVD & 120TH AVE NE
15TH AVE NW & NW 87TH ST
NE BOTHELL WAY & 73RD AVE NE
SE 37TH ST & 150TH AVE SE
116TH AVE SE & SE 243RD PL
5TH AVE NE & NE 178TH ST
EDMONDS AVE NE & NE 25TH ST
ROOSEVELT WAY NE & NE 80TH ST
20TH AVE NE & NE 137TH ST
145TH PL SE & 144TH AVE SE
THACKERAY PL NE & NE 47TH ST
NE 145TH ST & LK CITY WAY NE
BEACON AVE S & S BRANDON ST
BEACH DR SW & SW GENESEE ST
NORPOINT WAY NE & 57TH AVE NE
FAIRVIEW AVE N & MERCER ST
9TH AVE W & W ARMOUR ST
61ST AVE NE & NE 193RD PL
RAILROAD AVE SE AVE  & SE NEWTON ST
NE 85TH ST & 114TH AVE NE
8TH AVE NW & NW 80TH ST
25TH AVE SW & SW HENDERSON ST
BEACON AVE S & S LEO ST
SE 134TH ST & 181ST AVE SE
RAINIER AVE S & S CLOVERDALE ST
SE 24TH ST & 70TH AVE SE
E UNION ST & 23RD AVE
148TH AVE NE & NE 46TH ST
112TH AVE SE & LEA HILL RD SE
3RD AVE NW & NW 89TH ST
161ST AVE SE & SE 170TH PL
NW 14TH ST & BOALCH AVE NW
WEEDIN PL NE & 8TH AVE NE
QUEEN ANNE DR & 2ND AVE N
AUBURN WAY N & 49TH ST NE
F ST SE & 29TH ST SE
SOMERSET BLVD SE & SE 43RD ST
AUBURN WAY N & 45TH ST NE
NE 155TH ST & 15TH AVE NE
SE 168TH ST & 120TH AVE SE
SW CAMBRIDGE ST & 17TH AVE SW
100TH AVE NE & NE 124TH ST
NE 24TH ST & 169TH AVE NE
NW MARKET ST & 6TH AVE NW
140TH AVE NE & NE BEL-RED RD
NE 136TH ST & 98TH AVE NE
PACIFIC HWY S & S 316TH ST
164TH AVE SE & SE 2ND ST
BEACH DR SW & 63RD AVE SW
Bellevue Way SE & S Bellevue P&R AcRd
NE 179th St & Woodinville P&R AcRd
58TH PL S & RUSSELL RD
RAINIER AVE S & 51ST AVE S
SE 164TH ST & 128TH PL SE
GILMAN AVE W & 26TH AVE W
61ST AVE NE & NE 190TH ST
5TH AVE NE & NE 82ND ST
AVONDALE WAY NE & 170TH PL NE
DELRIDGE WAY SW & SW MYRTLE ST
156TH AVE SE & MAIN ST
NE 4TH ST & QUEEN AVE NE
35TH AVE NE & NE 87TH ST
SE 164TH ST & 128TH AVE SE
NORPOINT WAY NE & NE 53RD PL
4TH AVE & LENORA ST
N 205TH ST & FREMONT AVE N
108TH AVE SE & SE 217TH ST
W MEEKER ST & RUSSELL RD
W MERCER WAY & W SHUCK PK DR
34TH AVE W & W RAYE ST
21ST AVE SW & SW 162ND ST
161ST AVE SE & SE 173RD ST
8TH AVE NW & NW 95TH ST
E LYNN ST & BOYER AVE E
TAYLOR AVE N & GARFIELD ST
26TH AVE SW & SW ROXBURY ST
SUMMIT AVE E & E MERCER ST
SE 32ND ST & 78TH AVE SE
MAPLE VALLY - BLA RD & SE 237TH ST
STEVENS AVE NW & S 123RD PL
1ST AVE S & S 116TH ST
35TH AVE SW & SW MYRTLE ST
RENTON AVE S & S 132ND ST
104TH AVE SE & SE 232ND ST
TALBOT RD S & S 36TH ST
E JOHN ST & 23RD AVE E
NE 4TH ST & DUVALL AVE NE
NE 116TH ST & 167TH PL NE
12TH AVE S & S ATLANTIC ST
MARTIN L KING JR WAY & S MYRTLE ST
M ST NE & E MAIN ST
W MEEKER ST & 64TH AVE S
124TH AVE SE & SE 263RD ST
DELRIDGE WAY SW & SW GRAHAM ST
YESLER WAY & 5TH AVE
LK HILLS BLVD & SE 12TH PL
SE 256TH ST & 138TH AVE SE
FRONT ST N & NE CRESCENT DR
NE 145TH ST & 15TH AVE NE
E ROANOKE ST & BROADWAY E
WEST VIEWMONT WAY W & W BARRETT LN
35TH AVE SW & SW CAMBRIDGE ST
REDMOND WAY & NE 79TH ST
EAST MARGINAL WAY S & S 120TH PL
Northgate TC AcRd & 100th Ave NE
NE 55TH ST & 37TH AVE NE
FIRDALE AVE & 241ST PL SW
S 120TH ST & ROSEBERG AVE S
120TH AVE NE & NE 112TH ST
SW ADMIRAL WAY & SW OLGA ST
MARTIN L KING JR WAY & S WALKER ST
61ST AVE SW & SW ADMIRAL WAY
N 205TH ST & GREENWOOD AVE N
SOUTHCENTER PKWY & S 180TH ST
BEACH DR SW & 6000 BLOCK
NE SUNSET BLVD & DUVALL AVE NE
NE 24TH ST & NE BEL-RED RD
1ST AVE S & SW 185TH ST
AMBAUM BLVD SW & SW 132ND ST
15TH AVE S & S SPOKANE ST
REDMOND WAY & WEST LK SAMMAMISH WA
ALASKAN WAY & PIKE ST
W MERCER WAY & SE 48TH ST
WEST LK SAMMAMISH PK & 177TH LN NE
ELLIOTT AVE W & W HARRISON ST
S OTHELLO ST & 48TH AVE S
ELLIOTT AVE W & W MERCER ST
42ND AVE E & E MADISON ST
24TH AVE NW & NW 90TH ST
W JAMES ST & LINCOLN AVE N
34TH AVE & E HOWELL ST
20TH AVE NE & NE 55TH ST
WATERS AVE S & S FLETCHER ST
SE 142ND ST & 146TH PL SE
15TH AVE NE & NE 170TH ST
SODO BUSWAY & S LANDER ST
16TH AVE SW & SW KENYON ST
NE OLD REDMOND RD & NE 68TH ST
1ST AVE S & S 160TH ST
NE 8TH ST & 134TH AVE NE
ELLIOTT AVE W & W MERCER PL
2 AVE EXT S & S WASHINGTON ST
S 320TH ST & 6TH AVE S
STONE WAY N & N 43RD ST
BEACON AVE S & 59TH AVE S
S INDUSTRIAL WAY & 6TH AVE S
W JAMES ST & WASHINGTON AVE N
148TH AVE SE & SE 16TH ST
BLAINE ST & WARREN AVE N
BELLEVUE WAY SE & SE 3RD ST
LK WASHINGTON BLVD N & NE 10TH ST
SEWARD PK AVE S & RAINIER AVE S
164TH AVE SE & SE 9TH ST
SE FALL CITY-SNOQUAL & 372ND AVE SE
ISLAND CREST WAY & SE 68TH ST
SENECA ST & BOYLSTON AVE
25TH AVE NE & NE BLAKELEY ST
SW MORGAN ST & 42ND AVE SW
19TH AVE E & E ALOHA ST
I-405 Ramp & Coal Creek Pkwy SE
