104TH AVE SW & SW BURTON DR
1ST AVE S & SW 178TH ST
VA Hospital AcRd & S Oregon St
NW 195TH ST & 20TH AVE NW
RAVENNA AVE NE & NE 83RD ST
NORTHUP WAY & NE 24TH ST
166TH AVE NE & NE 102ND PL
S 180TH ST & ANDOVER PARK E
AUBURN-ENUMCLAW RD & 151ST AVE SE
S 304TH ST & 38TH AVE S
151ST AVE SE & SE 49TH ST
SE 272ND ST & 189TH AVE SE
COAL CREEK PKWY SE & SE 84TH WAY
University St Sta Ac & Transit Tunnel AcRd
NE 65TH ST & 25TH AVE NE
LK DELL AVE & 32ND AVE
THORNDYKE AVE W & W LYNN ST
38TH AVE NE & NE 85TH ST
AURORA AVE N & LYNN ST
HIGHLAND PK WAY SW & WEST MARGINAL WAY S
140TH AVE NE & NE 37TH PL
CENTRAL AVE S & E MORTON ST
3RD AVE & UNION ST
1ST AVE S & S 208TH ST
34TH AVE W & W THURMAN ST
16TH AVE SW & SW BRANDON ST
DELRIDGE WAY SW & SW CAMBRIDGE ST
NE BIG ROCK RD & 322ND AVE NE
YESLER WAY & PREFONTAINE PL S
169TH AVE SE & SE 144TH ST
NE 65TH ST & 35TH AVE NE
ALKI AVE SW & 1600 BLOCK
CALIFORNIA AVE SW & FAUNTLEROY WAY SW
15TH AVE NW & NW 100TH ST
32ND AVE NW & NW 77TH ST
ALKI AVE SW & 57TH AVE SW
EASTLAKE AVE E & E NEWTON ST
51ST AVE S & S 164TH ST
LEARY WAY NW & NW 43RD ST
Kingsgate P&R AcRd & 116th Way NE
SE FAIRWOOD BLVD & 145TH AVE SE
NE 45TH ST & 47TH AVE NE
SE 256TH ST & 135TH AVE SE
Burnett Ave S & Renton TC AcRd
35TH AVE SW & SW 104TH ST
NORTHUP WAY & 170TH AVE NE
148TH AVE NE & NE 55TH ST
SYLVESTER RD SW & SW 160TH ST
8TH AVE NW & NW 75TH ST
NE 185TH ST & 103RD AVE NE
Star Lake P&R AcRd & S 272nd St
NE 40TH ST & 159TH AVE NE
TOTEM LK BLVD & NE 130TH PL
WOODLAND PL N & N 64TH ST
N NORTHGATE WAY & STONE AVE N
MARINE VIEW DR S & JUDSON PARK
N 40TH ST & MERIDIAN AVE N
INTERNATIONAL BLVD & S 188TH ST
N 8TH ST & GARDEN AVE N
34TH AVE W & W GOVERNMENT WAY
SE NEWPORT WAY & LAKEMONT BLVD SE
SE 278TH PL & 132ND AVE SE
BENDIGO BLVD BLVD N & SIDNEY AVE N
156TH AVE NE & OVERLAKE TC
NE 144TH ST & 119TH PL NE
108TH AVE SE & SE 2ND ST
SE 268TH ST & 167TH PL SE
WEST LK SAMMAMISH PK & 184TH AVE SE
MAIN ST & 155TH AVE NE
15TH ST SW & MARKET ST
4TH AVE S & DIAGONAL AVE S
KIRKLAND AVE NE & NE 14TH ST
MARKET ST & 16TH AVE
HOYT RD SW & SW 326TH ST
EAST MARGINAL WAY S & ELLIS AVE S
N 85TH ST & STONE AVE N
17TH AVE NE & NE 136TH ST
S 156TH ST & 4TH AVE S
EAST MARGINAL WAY S & S MICHIGAN ST
S 3RD ST & RAINIER AVE S
120TH AVE NE & NE 195TH ST
28TH AVE W & W DRAVUS ST
SW ADMIRAL WAY & CALIFORNIA AVE SW
5TH AVE NE & NE 85TH ST
168TH AVE SE & SE 23RD PL
35TH AVE SW & SW 114TH ST
TALBOT RD S & S 177TH ST
WEST VIEWMONT WAY W & W ARMOUR ST
FAUNTLEROY FERRY & FAUNTLEROY AVE SW
GREENWOOD AVE N & N 77TH ST
2ND AVE & BROAD ST
1ST AVE & MARION ST
S 336TH ST & PACIFIC HWY S
KELLY RD NE & 320TH WAY NE
COAL CREEK PKWY SE & 124TH AVE SE
NE 65TH ST & 43RD AVE NE
DELRIDGE WAY SW & SW BRANDON ST
SE 128TH ST & ROSARIO AVE NE
LIND AVE SW & SW GRADY WAY
104TH AVE SE & SE 240TH ST
23RD AVE & E MADISON ST
BALLINGER WAY NE & 25TH AVE NE
ISLAND CREST WAY & SE 32ND ST
15TH ST NW & W VALLEY HWY
PACIFIC HWY S & S 336TH ST
S 176TH ST & 34TH AVE S
SE 320TH ST & 118TH AVE SE
84TH AVE NE & NE 155TH ST
SE 177TH ST & 140TH AVE SE
35TH AVE NE & NE 92ND ST
SE FALL CITY-SNOQUAL & 367TH AVE SE
MARKET ST & WAVERLY WAY
FRONT ST S & E SUNSET WAY
132ND AVE SE & SE 240TH ST
SAND PT WAY NE & NE 93RD ST
40TH PL NE & 35TH AVE NE
NE 150TH ST & 20TH AVE NE
NE 144TH ST & 121ST PL NE
SE RIDGE ST & DOUGLAS AVE SE
HOLMAN RD NW & 3RD AVE NW
N 200TH ST & AURORA AVE N
132ND AVE NE & NE 134TH PL
SE 46TH WAY & 159TH AVE SE
15TH AVE E & E GALER ST
98TH AVE NE & NE JUANITA DR
35TH AVE SW & SW 112TH ST
3RD AVE NW & NW 120TH ST
4TH AVE S & S FINDLAY ST
MILITARY RD S & S 125TH PL
EAST MARGINAL WAY S & S HUDSON ST
ANDOVER PARK E & EVANS BLK DR
MILL AVE S & HOUSER WAY S S
S 304TH ST & 37TH AVE S
MARTIN L KING JR WAY & S HANFORD ST
116TH AVE NE & 1500 BLOCK
REDMOND WAY & WILLOWS RD NE
55TH AVE NE & NE 68TH ST
N 122ND ST & BURKE AVE N
HARRINGTON AVE NE & NE 16TH ST
148TH AVE NE & NE 35TH ST
108TH AVE NE & NE 45TH ST
68TH AVE S & S 212TH ST
BLAINE ST & QUEEN ANNE AVE N
RAINIER AVE S & S FRONTENAC ST
WEST VIEWMONT WAY W & MONTAVISTA PL W
DENNY WAY & BROAD ST
E DENNY WAY & E FLORENCE CT
32ND AVE NW & NW 70TH ST
NE NOVELTY HILL RD & TRILOGY PKWY NE
S 128TH ST & MILITARY RD S
SAHALEE WAY NE & REDMOND FALL CITY RD
124TH AVE SE & SE 213TH ST
SW SUNSET BLVD & STEVENS AVE SW
S BAILEY ST & CARLETON AVE S
BEACON AVE S & S RAYMOND ST
W NICKERSON ST & 6TH AVE W
41ST ST NE & 49TH AVE NE
NE 8TH ST & 120TH AVE NE
SR 169 & SE 216TH PL
SAXON CT & NE 4TH ST
16TH AVE S & 17TH PL S
15TH AVE E & E REPUBLICAN ST
S 216TH ST & 5TH AVE S
8TH AVE NW & NW MARKET ST
39TH AVE SW & MARINE VIEW DR SW
MAIN ST & 110TH PL SE
185TH AVE NE & NE 68TH ST
NW 85TH ST & 30TH AVE NW
SE 223RD DR & 120TH AVE SE
E YESLER WAY & 32ND AVE S
S 294TH ST & S 292ND ST
116TH AVE SE & SE 256TH PL
F ST SE & 25TH ST SE
WEST VALLEY HWY & TODD BLVD
SE PETROVITSKY RD & 140TH AVE SE
PRESTON FALL CITY RD & SE 86TH ST
132ND AVE SE & SE 248TH ST
GREENWOOD AVE N & N 92ND ST
SW GRADY WAY & RAYMOND AVE SW
CALIFORNIA AVE SW & SW WEBSTER ST
S DAWSON ST & 51ST AVE S
ISLAND CREST WAY & SE 39TH ST
W GOVERNMENT WAY & 31ST AVE W
N 40TH ST & SUNNYSIDE AVE N
SE 179TH ST & 154TH AVE SE
NE 125TH ST & 30TH AVE NE
WEST LK SAMMAMISH PK & NE 40TH ST
NE 125TH ST & 20TH AVE NE
NW 85TH ST & 19TH AVE NW
EASTLAKE AVE E & E HOWE ST
10TH AVE W & W MCGRAW ST
N 192ND ST & AURORA AVE N
SE 179TH ST & 156TH PL SE
84TH AVE NE & NE 138TH ST
15TH AVE NE & 24TH AVE NE
QUEEN ANNE AVE N & W MERCER ST
N MERCER WAY & 80TH AVE SE
E RIVERSIDE DR & E RIVERSIDE PL
NE OLD REDMOND RD & 140TH AVE NE
CENTRAL AVE S & E WILLIS ST
BOEING ACS & S LONGACRES WAY
17TH ST SE & H ST SE
Bell St & 4th Ave
NE 155TH ST & 6TH AVE NE
PACIFIC HWY S & S 330TH ST
LK YOUNGS WAY SE & KIRKLAND AVE SE
E PINE ST & BROADWAY
180TH AVE NE & NE 76TH ST
Totem Lake Transit C & 120th Ave NE
NE 132ND ST & 124TH AVE NE
DEXTER AVE & DENNY WAY
E UNION ST & 32ND AVE
164TH AVE SE & SE 12TH ST
SW ADMIRAL WAY & 46TH AVE SW
CENTRAL AVE S & S 262ND ST
15TH AVE NE & NE 180TH ST
5TH AVE NE & NE 183RD CT
RENTON MAPLE VALL RD & 131ST AVE SE
132ND AVE NE & NE 88TH ST
N 130TH ST & ASHWORTH AVE N
SE NEWPORT WAY & 165TH PL SE
MERIDIAN AVE N & N 187TH ST
15TH AVE NE & NE 50TH ST
W GOVERNMENT WAY & 34TH AVE W
MARTIN L KING JR WAY & S ALASKA ST
NE 55TH ST & 25TH AVE NE
MARTIN L KING JR WAY & S WINTHROP ST
3RD AVE W & W FULTON ST
W TILDEN ST & 30TH AVE W
35TH AVE SW & SW HUDSON ST
SE 168TH ST & 116TH AVE SE
156TH AVE NE & NE 13TH ST
S ALASKA ST & MARTIN L KING JR WAY
132ND AVE SE & SE 274TH ST
WEST VIEWMONT WAY W & W RAYE ST
NE 65TH ST & 21ST AVE NE
SW 160TH ST & 10TH AVE SW
NE 45TH ST & 38TH AVE NE
NE 10TH ST & INDEX AVE NE
35TH AVE SW & SW ROXBURY ST
W MERCER WAY & 79TH AVE SE
E YESLER WAY & 27TH AVE S
