,"Percentage Early, On Time, and Late, Oct 2012 - May 2013 by Route and Day",,,,,,,,,,
,,,,,,,,,,,
,Days,Rte,E/L,% Late,% Early,%OnTime,,,,,
242L,M-F,242,L,20%,2%,78%,,,,,
243L,M-F,243,L,21%,1%,77%,,,,,
244E,M-F,244,E,19%,0%,81%,,,,,
245L,M-F,245,L,15%,5%,80%,,,,,
246L,M-F,246,L,19%,5%,76%,,,,,
248L,M-F,248,L,13%,0%,87%,,,,,
249L,M-F,249,L,8%,11%,81%,,,,,
250L,M-F,250,L,15%,2%,82%,,,,,
252L,M-F,252,L,14%,1%,84%,,,,,
255L,M-F,255,L,18%,3%,78%,,,,,
257L,M-F,257,L,22%,1%,78%,,,,,
260L,M-F,260,L,16%,1%,84%,,,,,
265L,M-F,265,L,16%,1%,83%,,,,,
268L,M-F,268,L,14%,1%,85%,,,,,
269L,M-F,269,L,20%,2%,78%,,,,,
271L,M-F,271,L,9%,9%,82%,,,,,
277L,M-F,277,L,21%,2%,78%,,,,,
280L,M-F,280,L,18%,1%,81%,,,,,
301E,M-F,301,E,18%,1%,81%,,,,,
303E,M-F,303,E,17%,3%,80%,,,,,
304L,M-F,304,L,20%,0%,80%,,,,,
306E,M-F,306,E,16%,1%,83%,,,,,
308L,M-F,308,L,11%,1%,88%,,,,,
309E,M-F,309,E,15%,1%,84%,,,,,
311L,M-F,311,L,30%,1%,69%,,,,,
312E,M-F,312,E,13%,1%,86%,,,,,
316L,M-F,316,L,23%,0%,77%,,,,,
330L,M-F,330,L,21%,2%,77%,,,,,
331L,M-F,331,L,10%,4%,85%,,,,,
342L,M-F,342,L,16%,1%,83%,,,,,
345L,M-F,345,L,10%,2%,88%,,,,,
346L,M-F,346,L,7%,2%,91%,,,,,
347L,M-F,347,L,6%,2%,91%,,,,,
348L,M-F,348,L,12%,4%,84%,,,,,
355E,M-F,355,E,27%,0%,72%,,,,,
358E,M-F,358,E,18%,2%,80%,,,,,
372E,M-F,372,E,24%,1%,75%,,,,,
373E,M-F,373,E,19%,1%,80%,,,,,
601E,M-F,601,E,43%,0%,57%,,,,,
661L,M-F,661,L,21%,3%,77%,,,,,
823L,M-F,823,L,1%,30%,69%,,,,,
824L,M-F,824,L,9%,1%,89%,,,,,
887E,M-F,887,E,26%,0%,74%,,,,,
887L,M-F,887,L,19%,1%,80%,,,,,
888L,M-F,888,L,8%,8%,84%,,,,,
889L,M-F,889,L,1%,0%,99%,,,,,
891L,M-F,891,L,3%,0%,97%,,,,,
892L,M-F,892,L,4%,0%,96%,,,,,
893L,M-F,893,L,11%,0%,89%,,,,,
952E,M-F,952,E,20%,7%,73%,,,,,
980E,M-F,980,E,32%,3%,64%,,,,,
981E,M-F,981,E,36%,4%,59%,,,,,
982E,M-F,982,E,7%,13%,80%,,,,,
983E,M-F,983,E,4%,2%,94%,,,,,
984E,M-F,984,E,43%,3%,54%,,,,,
986E,M-F,986,E,9%,6%,85%,,,,,
987E,M-F,987,E,40%,2%,58%,,,,,
988E,M-F,988,E,17%,3%,80%,,,,,
989E,M-F,989,E,27%,13%,60%,,,,,
994E,M-F,994,E,46%,2%,51%,,,,,
995E,M-F,995,E,7%,5%,88%,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1L,SAT,1,L,24%,3%,73%,,,,,
2L,SAT,2,L,24%,1%,75%,,,,,
3L,SAT,3,L,14%,5%,81%,,,,,
4L,SAT,4,L,24%,2%,74%,,,,,
5L,SAT,5,L,16%,6%,78%,,,,,
7L,SAT,7,L,20%,5%,75%,,,,,
8L,SAT,8,L,23%,3%,74%,,,,,
10L,SAT,10,L,22%,1%,76%,,,,,
11L,SAT,11,L,22%,7%,71%,,,,,
12L,SAT,12,L,5%,7%,88%,,,,,
13L,SAT,13,L,14%,3%,83%,,,,,
14L,SAT,14,L,17%,5%,78%,,,,,
16L,SAT,16,L,24%,4%,73%,,,,,
21L,SAT,21,L,20%,4%,76%,,,,,
22L,SAT,22,L,8%,2%,90%,,,,,
24L,SAT,24,L,24%,2%,74%,,,,,
26L,SAT,26,L,27%,1%,73%,,,,,
27L,SAT,27,L,34%,1%,65%,,,,,
28L,SAT,28,L,25%,1%,74%,,,,,
30L,SAT,30,L,7%,5%,88%,,,,,
31L,SAT,31,L,14%,1%,85%,,,,,
32L,SAT,32,L,17%,3%,80%,,,,,
33L,SAT,33,L,28%,1%,71%,,,,,
36L,SAT,36,L,11%,3%,85%,,,,,
40L,SAT,40,L,25%,4%,71%,,,,,
41L,SAT,41,L,11%,1%,88%,,,,,
43L,SAT,43,L,19%,4%,77%,,,,,
44L,SAT,44,L,19%,3%,78%,,,,,
47L,SAT,47,L,17%,2%,81%,,,,,
48L,SAT,48,L,24%,3%,73%,,,,,
49L,SAT,49,L,11%,5%,84%,,,,,
50L,SAT,50,L,12%,7%,81%,,,,,
60L,SAT,60,L,23%,4%,74%,,,,,
61L,SAT,61,L,19%,1%,81%,,,,,
65L,SAT,65,L,13%,1%,86%,,,,,
66E,SAT,66,E,11%,3%,87%,,,,,
68L,SAT,68,L,11%,1%,88%,,,,,
70L,SAT,70,L,12%,11%,78%,,,,,
71E,SAT,71,E,23%,4%,73%,,,,,
71L,SAT,71,L,19%,2%,79%,,,,,
72E,SAT,72,E,27%,3%,70%,,,,,
72L,SAT,72,L,21%,2%,77%,,,,,
73E,SAT,73,E,22%,4%,75%,,,,,
73L,SAT,73,L,16%,3%,81%,,,,,
75L,SAT,75,L,9%,5%,86%,,,,,
82L,SAT,82,L,2%,13%,84%,,,,,
83L,SAT,83,L,10%,7%,83%,,,,,
84L,SAT,84,L,8%,17%,75%,,,,,
101L,SAT,101,L,26%,0%,74%,,,,,
105L,SAT,105,L,11%,2%,87%,,,,,
106L,SAT,106,L,17%,3%,80%,,,,,
107L,SAT,107,L,14%,5%,81%,,,,,
118L,SAT,118,L,1%,1%,98%,,,,,
120L,SAT,120,L,23%,2%,75%,,,,,
124L,SAT,124,L,33%,2%,66%,,,,,
125L,SAT,125,L,11%,9%,80%,,,,,
128L,SAT,128,L,11%,18%,72%,,,,,
131L,SAT,131,L,31%,1%,68%,,,,,
132L,SAT,132,L,26%,3%,71%,,,,,
139L,SAT,139,L,3%,0%,97%,,,,,
140L,SAT,140,L,13%,5%,82%,,,,,
148L,SAT,148,L,18%,7%,75%,,,,,
150L,SAT,150,L,13%,4%,84%,,,,,
155L,SAT,155,L,27%,5%,68%,,,,,
156L,SAT,156,L,19%,6%,75%,,,,,
164L,SAT,164,L,12%,6%,82%,,,,,
166L,SAT,166,L,13%,9%,77%,,,,,
168L,SAT,168,L,11%,6%,83%,,,,,
169L,SAT,169,L,13%,5%,82%,,,,,
180L,SAT,180,L,7%,16%,77%,,,,,
181L,SAT,181,L,13%,3%,84%,,,,,
182L,SAT,182,L,22%,0%,78%,,,,,
183L,SAT,183,L,11%,2%,88%,,,,,
187L,SAT,187,L,14%,3%,84%,,,,,
203L,SAT,203,L,7%,2%,92%,,,,,
204L,SAT,204,L,11%,3%,86%,,,,,
209L,SAT,209,L,16%,4%,80%,,,,,
213L,SAT,213,L,3%,3%,94%,,,,,
221L,SAT,221,L,23%,1%,76%,,,,,
226L,SAT,226,L,13%,2%,85%,,,,,
234L,SAT,234,L,16%,1%,83%,,,,,
235L,SAT,235,L,3%,1%,96%,,,,,
236L,SAT,236,L,15%,2%,83%,,,,,
238L,SAT,238,L,11%,7%,82%,,,,,
240L,SAT,240,L,13%,5%,81%,,,,,
241L,SAT,241,L,14%,2%,85%,,,,,
245L,SAT,245,L,22%,2%,76%,,,,,
248L,SAT,248,L,9%,1%,90%,,,,,
249L,SAT,249,L,9%,2%,89%,,,,,
255L,SAT,255,L,16%,2%,82%,,,,,
271L,SAT,271,L,15%,3%,82%,,,,,
280L,SAT,280,L,25%,3%,72%,,,,,
331L,SAT,331,L,8%,1%,91%,,,,,
345L,SAT,345,L,8%,4%,88%,,,,,
346L,SAT,346,L,5%,0%,95%,,,,,
347L,SAT,347,L,16%,2%,82%,,,,,
348L,SAT,348,L,17%,2%,81%,,,,,
358E,SAT,358,E,24%,3%,73%,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1L,SUN,1,L,24%,2%,74%,,,,,
2L,SUN,2,L,14%,4%,82%,,,,,
3L,SUN,3,L,14%,2%,84%,,,,,
4L,SUN,4,L,17%,3%,80%,,,,,
5L,SUN,5,L,15%,3%,82%,,,,,
7L,SUN,7,L,17%,6%,77%,,,,,
8L,SUN,8,L,20%,3%,77%,,,,,
10L,SUN,10,L,13%,3%,84%,,,,,
11L,SUN,11,L,22%,3%,75%,,,,,
12L,SUN,12,L,4%,7%,89%,,,,,
13L,SUN,13,L,11%,2%,87%,,,,,
14L,SUN,14,L,23%,3%,75%,,,,,
16L,SUN,16,L,29%,3%,69%,,,,,
21L,SUN,21,L,16%,4%,80%,,,,,
22L,SUN,22,L,15%,1%,84%,,,,,
24L,SUN,24,L,16%,2%,82%,,,,,
26L,SUN,26,L,16%,2%,82%,,,,,
27L,SUN,27,L,30%,2%,68%,,,,,
28L,SUN,28,L,19%,2%,79%,,,,,
30L,SUN,30,L,2%,5%,93%,,,,,
32L,SUN,32,L,17%,2%,81%,,,,,
33L,SUN,33,L,25%,2%,73%,,,,,
36L,SUN,36,L,9%,3%,88%,,,,,
40L,SUN,40,L,30%,5%,65%,,,,,
41L,SUN,41,L,12%,0%,87%,,,,,
43L,SUN,43,L,10%,9%,81%,,,,,
44L,SUN,44,L,10%,5%,85%,,,,,
47L,SUN,47,L,8%,1%,91%,,,,,
48L,SUN,48,L,24%,5%,71%,,,,,
49L,SUN,49,L,17%,4%,79%,,,,,
50L,SUN,50,L,17%,5%,78%,,,,,
60L,SUN,60,L,15%,3%,81%,,,,,
61L,SUN,61,L,13%,3%,85%,,,,,
65L,SUN,65,L,7%,1%,92%,,,,,
66E,SUN,66,E,9%,3%,88%,,,,,
71L,SUN,71,L,16%,5%,79%,,,,,
72L,SUN,72,L,15%,7%,78%,,,,,
73L,SUN,73,L,14%,7%,79%,,,,,
75L,SUN,75,L,8%,6%,86%,,,,,
82L,SUN,82,L,5%,5%,90%,,,,,
83L,SUN,83,L,5%,3%,92%,,,,,
84L,SUN,84,L,2%,10%,88%,,,,,
101L,SUN,101,L,22%,0%,78%,,,,,
105L,SUN,105,L,20%,0%,80%,,,,,
106L,SUN,106,L,11%,2%,86%,,,,,
107L,SUN,107,L,4%,15%,80%,,,,,
120L,SUN,120,L,21%,2%,77%,,,,,
124L,SUN,124,L,22%,5%,73%,,,,,
128L,SUN,128,L,7%,15%,78%,,,,,
131L,SUN,131,L,17%,4%,80%,,,,,
132L,SUN,132,L,17%,6%,77%,,,,,
139L,SUN,139,L,1%,0%,99%,,,,,
140L,SUN,140,L,5%,11%,84%,,,,,
148L,SUN,148,L,6%,10%,84%,,,,,
150L,SUN,150,L,17%,2%,82%,,,,,
156L,SUN,156,L,12%,2%,86%,,,,,
166L,SUN,166,L,9%,6%,85%,,,,,
168L,SUN,168,L,17%,4%,79%,,,,,
169L,SUN,169,L,10%,5%,85%,,,,,
180L,SUN,180,L,7%,18%,75%,,,,,
181L,SUN,181,L,6%,4%,90%,,,,,
182L,SUN,182,L,10%,1%,89%,,,,,
187L,SUN,187,L,7%,3%,90%,,,,,
203L,SUN,203,L,1%,1%,98%,,,,,
204L,SUN,204,L,4%,4%,92%,,,,,
213L,SUN,213,L,1%,2%,97%,,,,,
221L,SUN,221,L,18%,2%,80%,,,,,
226L,SUN,226,L,9%,4%,87%,,,,,
234L,SUN,234,L,7%,5%,88%,,,,,
235L,SUN,235,L,1%,3%,96%,,,,,
236L,SUN,236,L,11%,1%,88%,,,,,
238L,SUN,238,L,14%,3%,84%,,,,,
240L,SUN,240,L,9%,6%,85%,,,,,
241L,SUN,241,L,9%,3%,87%,,,,,
245L,SUN,245,L,14%,1%,84%,,,,,
248L,SUN,248,L,4%,0%,95%,,,,,
