Route,Part,Express/ Local,Inbound / Outbound,KeyBl,StTime,EndTime,Start of Route,End of Route,Load Factor,Average Load,Riders Per Revenue Hour,Revenue Miles,Revenue Hours,Seats on Bus,Bus Type,Day,Peak or Off Peak,1-Factor Fully Allocated Cost,Redundancy,,,,,,,OBJECTID ,District,Count_Stops,,,,,,,,,
,,,,,,,,,,,,# of Miles a bus is running in service,# of Hours a bus is running in service,,See Fleet Tab,,,,,,,,,,,1,Adams,33,Route #,Redundancy,,,,,,,
1,,,I,107,10:33 AM,10:47 AM,10W FLTN,3   CDAR,0.55,23,111,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,17,East Queen Anne,49,17,9,,90 - 40FT GILLIG HF ,40,D,90,HF,134.05
1,,,I,108,11:03 AM,11:17 AM,10W FLTN,3   CDAR,0.43,18,73,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,18,Eastlake,17,18,9,,70 - 40 FT ORION ,40,H,70,,134.05
1,,,I,103,11:33 AM,11:47 AM,10W FLTN,3   CDAR,0.43,18,90,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,19,Fairmount Park,27,19,5,,92 - 40FT NEW FLYER HYBRID LF ,40,H,92,LF,134.05
1,,,I,105,12:03 PM,12:17 PM,10W FLTN,3   CDAR,0.57,24,111,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,20,Fauntleroy,24,21,2,,41 - 40FT GILLIG TROLLEY HF ,40,T,41,HF,142.92
1,,,I,106,12:33 PM,12:47 PM,10W FLTN,3   CDAR,0.43,18,77,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,21,First Hill,41,22,1,,90M - 40FT GILLIG HF ,40,,90m,HF,134.05
1,,,I,107, 1:03 PM, 1:17 PM,10W FLTN,3   CDAR,0.4,17,73,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,22,Fremont,43,24,5,,23 - 60FT NEW FLYER ARTIC HF ,60,D,23,HF,167.52
1,,,I,108, 1:33 PM, 1:47 PM,10W FLTN,3   CDAR,0.52,22,94,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,23,Gatewood,46,25,2,,25 - 60FT NEW FLYER HYBRID LF,60,H,25,LF,143.75
1,,,I,103, 2:03 PM, 2:17 PM,10W FLTN,3   CDAR,0.64,27,124,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,24,Genesee,35,26,8,,26 - 60FT NEW FLYER HYBRID LF ,60,H,26,LF,143.75
1,,,I,105, 2:33 PM, 2:47 PM,10W FLTN,3   CDAR,0.43,18,86,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,25,Georgetown,34,27,3,,28 - 60FT NEW FLYER LF ,60,D,28,LF,167.52
1,,,I,106, 3:03 PM, 3:18 PM,10W FLTN,3   CDAR,0.55,23,80,2.799432,0.25,42,41,WK,P,142.92,2,,,,,,,26,Green Lake,50,28,8,,42 - 60FT BREDA CNV TRLY HF ,60,T,42,HF,153.11
1,,,I,107, 3:30 PM, 3:45 PM,10W FLTN,3   CDAR,0.36,15,68,2.799432,0.25,42,41,WK,P,142.92,2,,,,,,,27,Greenwood,57,29,1,,50 - 60FT BREDA DUALMODE ,60,,50,,148.7
1,,,I,108, 3:55 PM, 4:10 PM,10W FLTN,3   CDAR,0.57,24,96,2.799432,0.25,42,41,WK,P,142.92,2,,,,,,,28,Haller Lake,50,30,2,,60 - 60FT NEW FLYER HYBRID LF,60,H,60,LF,143.75
1,,,I,110, 4:18 PM, 4:33 PM,10W FLTN,3   CDAR,0.57,24,96,2.799432,0.25,42,41,WK,P,142.92,2,,,,,,,29,Harrison/Denny-Blaine,7,31,9,,68 - 60FT NEW FLYER HYBRID LF ,60,H,68,LF,143.75
1,,,I,103, 4:38 PM, 4:53 PM,10W FLTN,3   CDAR,0.48,20,84,2.799432,0.25,42,41,WK,P,142.92,2,,,,,,,30,High Point,24,32,9,,95 - 60FT NEW FLYER LF ,60,D,95,LF,167.52
1,,,I,112, 4:53 PM, 5:09 PM,10W FLTN,3   CDAR,0.74,31,120,2.799432,0.27,42,41,WK,P,142.92,2,,,,,,,31,Highland Park,30,33,3,,96 - 60FT NEW FLYER HYBRID LF,60,H,96,LF,143.75
1,,,I,105, 5:08 PM, 5:23 PM,10W FLTN,3   CDAR,0.5,21,88,2.799432,0.25,42,41,WK,P,142.92,2,,,,,,,32,Holly Park,13,36,2,,,,,,,
1,,,I,113, 5:23 PM, 5:38 PM,10W FLTN,3   CDAR,0.36,15,72,2.799432,0.25,42,41,WK,P,142.92,2,,,,,,,33,Industrial District,112,37,2,,,,,,,
1,,,I,106, 5:38 PM, 5:53 PM,10W FLTN,3   CDAR,0.29,12,48,2.799432,0.25,42,41,WK,P,142.92,2,,,,,,,34,Interbay,30,40,2,,,,,,,
1,,,I,114, 5:53 PM, 6:08 PM,10W FLTN,3   CDAR,0.26,11,48,2.799432,0.25,42,41,WK,O,142.92,2,,,,,,,35,International District,27,41,2,,,,,,,
1,,,I,107, 6:08 PM, 6:23 PM,10W FLTN,3   CDAR,0.36,15,48,2.799432,0.25,42,41,WK,O,142.92,2,,,,,,,36,Laurelhurst,30,43,1,,,,,,,
1,,,I,111, 6:28 PM, 6:43 PM,10W FLTN,3   CDAR,0.26,11,48,2.799432,0.25,42,41,WK,O,142.92,2,,,,,,,37,Lawton Park,53,44,1,,,,,,,
1,,,I,108, 6:38 PM, 7:09 PM,10W FLTN,5S  JAXN,0.19,8,19,4.46572,0.52,42,41,WK,O,142.92,2,,,,,,,38,Leschi,38,47,0,,,,,,,
1,,,I,110, 6:48 PM, 7:03 PM,10W FLTN,3   CDAR,0.24,10,40,2.799432,0.25,42,41,WK,O,142.92,2,,,,,,,39,Lower Queen Anne,41,48,2,,,,,,,
1,,,I,103, 7:08 PM, 7:22 PM,10W FLTN,3   CDAR,0.21,9,43,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,40,Loyal Heights,21,49,1,,,,,,,
1,,,I,112, 7:28 PM, 7:42 PM,10W FLTN,3   CDAR,0.14,6,26,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,41,Madison Park,15,50,1,,,,,,,
1,,,I,106, 7:48 PM, 8:02 PM,10W FLTN,3   CDAR,0.38,16,34,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,42,Madrona,31,55,2,,,,,,,
1,,,I,107, 8:18 PM, 8:32 PM,10W FLTN,3   CDAR,0.36,15,43,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,43,Mann,27,56,6,,,,,,,
1,,,I,111, 8:48 PM, 9:02 PM,10W FLTN,3   CDAR,0.21,9,30,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,44,Maple Leaf,63,57,6,,,,,,,
1,,,I,103, 9:18 PM, 9:32 PM,10W FLTN,3   CDAR,0.21,9,34,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,45,Matthews Beach,29,60,2,,,,,,,
1,,,I,112, 9:48 PM,10:02 PM,10W FLTN,3   CDAR,0.19,8,26,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,46,Meadowbrook,13,61,1,,,,,,,
1,,,I,111,10:47 PM,11:01 PM,10W FLTN,3   CDAR,0.14,6,21,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,47,Mid-Beacon Hill,49,62,1,,,,,,,
1,,,I,112,11:48 PM,12:01 AM,10W FLTN,3   CDAR,0.07,3,9,2.799432,0.22,42,41,WK,O,142.92,2,,,,,,,48,Minor,38,64,1,,,,,,,
1,,,O,102, 5:09 AM, 5:34 AM,5S  JAXN,10W FLTN,0.05,2,5,4.58125,0.42,42,41,WK,O,142.92,2,,,,,,,49,Montlake,32,65,1,,,,,,,
1,,,O,101, 5:31 AM, 5:59 AM,12S JAXN,10W FLTN,0.26,11,6,5.069318,0.47,42,41,WK,O,142.92,2,,,,,,,50,Mount Baker,34,66,6,,,,,,,
1,,,O,103, 6:01 AM, 6:31 AM,12S JAXN,10W FLTN,0.43,18,46,5.069318,0.5,42,41,WK,P,142.92,2,,,,,,,51,North Admiral,65,67,6,,,,,,,
1,,,O,105, 6:16 AM, 6:46 AM,12S JAXN,10W FLTN,0.48,20,24,5.069318,0.5,42,41,WK,P,142.92,2,,,,,,,52,North Beach/Blue Ridge,24,68,1,,,,,,,
1,,,O,104, 6:31 AM, 7:04 AM,12S JAXN,10W FLTN,0.5,21,33,5.069318,0.55,42,41,WK,P,142.92,2,,,,,,,53,North Beacon Hill,54,70,1,,,,,,,
1,,,O,106, 6:46 AM, 7:19 AM,12S JAXN,10W FLTN,0.52,22,35,5.069318,0.55,42,41,WK,P,142.92,2,,,,,,,54,North College Park,23,71,6,,,,,,,
1,,,O,102, 7:03 AM, 7:36 AM,12S JAXN,10W FLTN,0.62,26,42,5.069318,0.55,42,41,WK,P,142.92,2,,,,,,,55,North Delridge,28,72,7,,,,,,,
1,,,O,107, 7:18 AM, 7:51 AM,12S JAXN,10W FLTN,0.86,36,53,5.069318,0.55,42,41,WK,P,142.92,2,,,,,,,56,North Queen Anne,48,73,7,,,,,,,
1,,,O,108, 7:33 AM, 8:07 AM,12S JAXN,10W FLTN,0.88,37,44,5.069318,0.57,42,41,WK,P,142.92,2,,,,,,,57,Olympic Hills,47,74,3,,,,,,,
1,,,O,101, 7:48 AM, 8:22 AM,12S JAXN,10W FLTN,0.98,41,46,5.069318,0.57,42,41,WK,P,142.92,2,,,,,,,58,Phinney Ridge,27,75,1,,,,,,,
1,,,O,109, 8:03 AM, 8:37 AM,12S JAXN,10W FLTN,0.74,31,42,5.069318,0.57,42,41,WK,P,142.92,2,,,,,,,59,Pike-Market,6,76,4,,,,,,,
1,,,O,103, 8:18 AM, 8:52 AM,12S JAXN,10W FLTN,0.81,34,23,5.069318,0.57,42,41,WK,O,142.92,2,,,,,,,60,Pinehurst,41,77,4,,,,,,,
1,,,O,104, 8:33 AM, 9:08 AM,12S JAXN,10W FLTN,0.81,34,36,5.069318,0.58,42,41,WK,O,142.92,2,,,,,,,61,Pioneer Square,40,82,1,,,,,,,
1,,,O,105, 8:48 AM, 9:22 AM,12S JAXN,10W FLTN,0.71,30,14,5.069318,0.57,42,41,WK,O,142.92,2,,,,,,,62,Portage Bay,20,83,1,,,,,,,
1,,,O,106, 9:18 AM, 9:52 AM,12S JAXN,10W FLTN,0.81,34,42,5.069318,0.57,42,41,WK,O,142.92,2,,,,,,,63,Rainier Beach,47,84,1,,,,,,,
1,,,O,107, 9:48 AM,10:22 AM,12S JAXN,10W FLTN,0.67,28,39,5.069318,0.57,42,41,WK,O,142.92,2,,,,,,,64,Rainier View,24,99,0,,,,,,,
1,,,O,108,10:18 AM,10:52 AM,12S JAXN,10W FLTN,0.64,27,32,5.069318,0.57,42,41,WK,O,142.92,2,,,,,,,65,Ravenna,66,,,,,,,,,
1,,,O,103,10:48 AM,11:22 AM,12S JAXN,10W FLTN,0.64,27,26,5.069318,0.57,42,41,WK,O,142.92,2,,,,,,,66,Riverview,27,,,,,,,,,
1,,,O,105,11:18 AM,11:52 AM,12S JAXN,10W FLTN,0.52,22,46,5.069318,0.57,42,41,WK,O,142.92,2,,,,,,,67,Roosevelt,50,,,,,,,,,
1,,,O,106,11:48 AM,12:24 PM,12S JAXN,10W FLTN,0.64,27,60,5.069318,0.6,42,41,WK,O,142.92,2,,,,,,,68,Roxhill,27,,,,,,,,,
1,,,O,107,12:19 PM,12:56 PM,12S JAXN,10W FLTN,0.69,29,44,5.069318,0.62,42,41,WK,O,142.92,2,,,,,,,69,Sand Point,9,,,,,,,,,
1,,,O,108,12:48 PM, 1:25 PM,12S JAXN,10W FLTN,0.64,27,41,5.069318,0.62,42,41,WK,O,142.92,2,,,,,,,70,Seaview,43,,,,,,,,,
1,,,O,103, 1:18 PM, 1:55 PM,12S JAXN,10W FLTN,0.67,28,42,5.069318,0.62,42,41,WK,O,142.92,2,,,,,,,71,Seward Park,40,,,,,,,,,
1,,,O,105, 1:48 PM, 2:25 PM,12S JAXN,10W FLTN,0.5,21,42,5.069318,0.62,42,41,WK,O,142.92,2,,,,,,,72,South Beacon Hill,36,,,,,,,,,
1,,,O,106, 2:18 PM, 2:55 PM,12S JAXN,10W FLTN,0.71,30,63,5.069318,0.62,42,41,WK,O,142.92,2,,,,,,,73,South Delridge,37,,,,,,,,,
1,,,O,107, 2:46 PM, 3:23 PM,12S JAXN,10W FLTN,0.76,32,41,5.069318,0.62,42,41,WK,P,142.92,2,,,,,,,74,South Lake Union,52,,,,,,,,,
1,,,O,108, 3:08 PM, 3:48 PM,12S JAXN,10W FLTN,0.76,32,49,5.069318,0.67,42,41,WK,P,142.92,2,,,,,,,75,South Park,25,,,,,,,,,
1,,,O,110, 3:34 PM, 4:08 PM,5S  JAXN,10W FLTN,0.62,26,67,4.58125,0.57,42,41,WK,P,142.92,2,,,,,,,76,Southeast Magnolia,42,,,,,,,,,
1,,,O,103, 3:45 PM, 4:25 PM,12S JAXN,10W FLTN,0.6,25,64,5.069318,0.67,42,41,WK,P,142.92,2,,,,,,,77,Stevens,58,,,,,,,,,
1,,,O,112, 4:08 PM, 4:41 PM,5S  JAXN,10W FLTN,0.64,27,69,4.58125,0.55,42,41,WK,P,142.92,2,,,,,,,78,Sunset Hill,31,,,,,,,,,
1,,,O,105, 4:18 PM, 4:58 PM,12S JAXN,10W FLTN,0.9,38,84,5.069318,0.67,42,41,WK,P,142.92,2,,,,,,,79,University District,119,,,,,,,,,
1,,,O,113, 4:40 PM, 5:14 PM,5S  JAXN,10W FLTN,0.57,24,60,4.58125,0.57,42,41,WK,P,142.92,2,,,,,,,80,Victory Heights,20,,,,,,,,,
1,,,O,106, 4:49 PM, 5:30 PM,12S JAXN,10W FLTN,0.69,29,57,5.069318,0.68,42,41,WK,P,142.92,2,,,,,,,81,View Ridge,28,,,,,,,,,
1,,,O,114, 5:10 PM, 5:45 PM,5S  JAXN,10W FLTN,0.93,39,98,4.58125,0.58,42,41,WK,P,142.92,2,,,,,,,82,Wallingford,67,,,,,,,,,
1,,,O,107, 5:18 PM, 5:59 PM,12S JAXN,10W FLTN,0.9,38,63,5.069318,0.68,42,41,WK,P,142.92,2,,,,,,,83,Wedgwood,40,,,,,,,,,
1,,,O,111, 5:33 PM, 6:14 PM,12S JAXN,10W FLTN,0.76,32,67,5.069318,0.68,42,41,WK,P,142.92,2,,,,,,,84,West Queen Anne,34,,,,,,,,,
1,,,O,108, 5:48 PM, 6:28 PM,12S JAXN,10W FLTN,0.76,32,69,5.069318,0.67,42,41,WK,O,142.92,2,,,,,,,85,West Woodland,26,,,,,,,,,
1,,,O,110, 6:03 PM, 6:42 PM,12S JAXN,10W FLTN,0.67,28,62,5.069318,0.65,42,41,WK,O,142.92,2,,,,,,,86,Westlake,17,,,,,,,,,
1,,,O,103, 6:16 PM, 6:56 PM,12S JAXN,10W FLTN,1.12,47,75,5.069318,0.67,42,41,WK,O,142.92,2,,,,,,,87,Whittier Heights,14,,,,,,,,,
1,,,O,112, 6:40 PM, 7:17 PM,12S JAXN,10W FLTN,0.79,33,71,5.069318,0.62,42,41,WK,O,142.92,2,,,,,,,88,Windermere,11,,,,,,,,,
1,,,O,106, 7:10 PM, 7:43 PM,12S JAXN,10W FLTN,0.6,25,60,5.069318,0.55,42,41,WK,O,142.92,2,,,,,,,89,Yesler Terrace,21,,,,,,,,,
1,,,O,107, 7:40 PM, 8:13 PM,12S JAXN,10W FLTN,0.5,21,47,5.069318,0.55,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
1,,,O,111, 8:10 PM, 8:43 PM,12S JAXN,10W FLTN,0.48,20,49,5.069318,0.55,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
1,,,O,103, 8:40 PM, 9:13 PM,12S JAXN,10W FLTN,0.38,16,44,5.069318,0.55,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
1,,,O,112, 9:10 PM, 9:43 PM,12S JAXN,10W FLTN,0.81,34,53,5.069318,0.55,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
1,,,O,111,10:10 PM,10:41 PM,12S JAXN,10W FLTN,0.62,26,48,5.069318,0.52,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
1,,,O,112,11:10 PM,11:41 PM,12S JAXN,10W FLTN,0.26,11,25,5.069318,0.52,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,202, 5:03 AM, 5:25 AM,7W  RAYE,3   UNON,0.67,28,90,3.436932,0.37,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,201, 5:40 AM, 6:02 AM,7W  RAYE,3   UNON,0.5,21,65,3.436932,0.37,42,41,WK,P,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,205, 6:10 AM, 6:32 AM,7W  RAYE,3   UNON,0.62,26,90,3.436932,0.37,42,41,WK,P,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,203, 6:37 AM, 6:59 AM,7W  RAYE,3   UNON,0.5,21,76,3.436932,0.37,42,41,WK,P,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,202, 7:00 AM, 7:25 AM,7W  RAYE,3   UNON,0.86,36,110,3.436932,0.42,42,41,WK,P,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,201, 7:35 AM, 8:10 AM,7W  RAYE,5S  JAXN,0.98,41,94,4.290341,0.58,42,41,WK,P,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,205, 8:00 AM, 8:35 AM,7W  RAYE,5S  JAXN,0.69,29,72,4.290341,0.58,42,41,WK,P,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,206, 8:19 AM, 8:44 AM,7W  RAYE,3   UNON,1.02,43,144,3.436932,0.42,42,41,WK,P,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,208, 8:52 AM, 9:17 AM,7W  RAYE,3   UNON,0.83,35,120,3.436932,0.42,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,209, 9:08 AM, 9:33 AM,7W  RAYE,3   UNON,0.9,38,120,3.436932,0.42,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,207, 9:35 AM,10:00 AM,7W  RAYE,3   UNON,0.64,27,96,3.436932,0.42,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,210,10:05 AM,10:30 AM,7W  RAYE,3   UNON,0.52,22,82,3.436932,0.42,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,206,10:35 AM,11:00 AM,7W  RAYE,3   UNON,0.43,18,74,3.436932,0.42,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,208,11:05 AM,11:30 AM,7W  RAYE,3   UNON,0.52,22,84,3.436932,0.42,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,202,11:35 AM,12:00 PM,7W  RAYE,3   UNON,0.74,31,101,3.436932,0.42,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,213,12:05 PM,12:30 PM,7W  RAYE,3   UNON,0.64,27,98,3.436932,0.42,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,211,12:34 PM,12:59 PM,7W  RAYE,3   UNON,0.52,22,84,3.436932,0.42,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,203, 1:06 PM, 1:29 PM,7W  RAYE,3   UNON,0.71,30,130,3.436932,0.38,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,209, 1:36 PM, 1:59 PM,7W  RAYE,3   UNON,0.6,25,107,3.436932,0.38,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,207, 2:06 PM, 2:29 PM,7W  RAYE,3   UNON,0.64,27,117,3.436932,0.38,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,210, 2:32 PM, 2:56 PM,7W  RAYE,3   UNON,0.6,25,110,3.436932,0.4,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,206, 2:58 PM, 3:22 PM,7W  RAYE,3   UNON,0.93,39,140,3.436932,0.4,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,208, 3:25 PM, 3:49 PM,7W  RAYE,3   UNON,1,42,150,3.436932,0.4,42,41,WK,P,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,209, 3:48 PM, 4:12 PM,7W  RAYE,3   UNON,1,42,142,3.436932,0.4,42,41,WK,P,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,215, 4:08 PM, 4:32 PM,7W  RAYE,3   UNON,0.81,34,112,3.436932,0.4,42,41,WK,P,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,216, 4:43 PM, 5:07 PM,7W  RAYE,3   UNON,0.67,28,115,3.436932,0.4,42,41,WK,P,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,203, 5:22 PM, 5:46 PM,7W  RAYE,3   UNON,0.81,34,125,3.436932,0.4,42,41,WK,P,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,214, 5:48 PM, 6:12 PM,7W  RAYE,3   UNON,0.74,31,108,3.436932,0.4,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,209, 6:18 PM, 6:42 PM,7W  RAYE,3   UNON,0.6,25,100,3.436932,0.4,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,207, 6:37 PM, 7:01 PM,7W  RAYE,3   UNON,0.45,19,45,3.436932,0.4,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,211, 7:08 PM, 7:30 PM,7W  RAYE,3   UNON,0.48,20,76,3.436932,0.37,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,217, 7:38 PM, 8:00 PM,7W  RAYE,3   UNON,0.52,22,76,3.436932,0.37,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,219, 8:08 PM, 8:30 PM,7W  RAYE,3   UNON,0.38,16,65,3.436932,0.37,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,207, 8:39 PM, 9:00 PM,7W  RAYE,3   UNON,0.43,18,74,3.436932,0.35,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,211, 9:09 PM, 9:30 PM,7W  RAYE,3   UNON,0.43,18,71,3.436932,0.35,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,217, 9:39 PM,10:00 PM,7W  RAYE,3   UNON,0.36,15,57,3.436932,0.35,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,219,10:11 PM,10:30 PM,7W  RAYE,3   UNON,0.31,13,57,3.436932,0.32,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,207,10:41 PM,11:00 PM,7W  RAYE,3   UNON,0.26,11,44,3.436932,0.32,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,211,11:06 PM,11:25 PM,7W  RAYE,3   UNON,0.33,14,63,3.436932,0.32,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,217,11:36 PM,11:55 PM,7W  RAYE,3   UNON,0.19,8,35,3.436932,0.32,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,219,12:07 AM,12:25 AM,7W  RAYE,3   UNON,0.1,4,20,3.436932,0.3,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,207,12:27 AM,12:53 AM,7W  RAYE,5S  JAXN,0.14,6,14,4.290341,0.43,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
2,N,,I,211,12:52 AM, 1:10 X,7W  RAYE,3   UNON,0.21,9,23,3.436932,0.3,42,41,WK,O,142.92,2,,,,,,,,,,,,,,,,,,
